BLF-106-S2;NAM;Boorgatstatus;Producing;Producing/Injecting
BLF-107;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BLF-108;NAM;Boorgatstatus;Producing;Producing/Injecting
BLG-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BLG-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BLH-01;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
BLK-01;NAM;Boorgatstatus;Producing;Producing/Injecting
BLS-01;NAM;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
BLS-02;Vermilion;Opdrachtgever;Vermilion;Vermilion Oil & Gas Netherlands B.V.
BLS-02;Vermilion;Huidige eigenaar;Vermilion;Vermilion Energy Netherlands B.V.
BNT-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BNV-01;TAQA;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
BNV-01-S1;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
BOL-01;NAM;Boorgatstatus;Closed-in;Observing
BOR-01;Koninklijke Nederlandse Zoutindustrie;Boorgatstatus;Plugged and abandoned;Abandoned
BRA-01;NAM;Boorgatstatus;Closed-in;Abandoned
BRA-02;NAM;Boorgatstatus;Producing;Producing/Injecting
BRG-01;Total;Boorgatstatus;Plugged and abandoned;Abandoned
BRH-01;NAM;Boorgatstatus;Closed-in;Observing
BRI-GT-01;Aardwarmte Vierpolders;Veld Code;Vierpolders;VPD-GT
BRI-GT-01;Aardwarmte Vierpolders;Mijnbouwwerk Naam;Vierpolders;Vierpolders Geothermie
BRI-GT-01;Aardwarmte Vierpolders;Mijnbouwwerk Code;Vierpolders;VPD-GT
BRI-GT-02;Aardwarmte Vierpolders;Veld Code;Vierpolders;VPD-GT
BRI-GT-02;Aardwarmte Vierpolders;Mijnbouwwerk Naam;Vierpolders;Vierpolders Geothermie
BRI-GT-02;Aardwarmte Vierpolders;Mijnbouwwerk Code;Vierpolders;VPD-GT
BRK-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRK-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRK-03;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRK-04;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
BRK-04-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRK-05;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
BRK-05-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRK-05-S2;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
BRK-05-S3;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRK-06;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRK-07;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRK-08;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
BRK-08-S1;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
BRK-08-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRK-09;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRK-10;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRK-11;NAM;Boorgatstatus;Closed-in;Abandoned
BRK-12;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRK-14;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRK-22;NAM;Boorgatstatus;Producing;Producing/Injecting
BRL-01;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
BRL-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRN-15;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
BRT-01;NAM;Boorgatstatus;Closed-in;Suspended
BRTZ-02-S1;NAM;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
BRW-01;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
BRW-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRW-01-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRW-02-S1;NAM;Boorgatstatus;Water injecting;Producing/Injecting
BRW-03;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BRW-04;NAM;Boorgatstatus;Injecting;Producing/Injecting
BRW-05;NAM;Boorgatstatus;-;Producing/Injecting
BSKP-01;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
BSKP-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BSL-01;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
BTL-01;NAM;Boorgatstatus;Producing;Producing/Injecting
BTL-OBS;NAM;Boorgatstatus;-;Observing
BUI-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BUM-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BUMA-01;NAM;Boorgatstatus;-;Technisch mislukt en sidetracked
BUMA-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
BUR-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
BUS-01;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
BUU-01;Koninklijke Nederlandse Zoutindustrie;Boorgatstatus;Plugged and abandoned;Abandoned
BUU-02;Koninklijke Nederlandse Zoutindustrie;Boorgatstatus;Plugged and abandoned;Abandoned
BUU-03;Koninklijke Nederlandse Zoutindustrie;Boorgatstatus;Plugged and abandoned;Abandoned
BUU-04;Koninklijke Nederlandse Zoutindustrie;Boorgatstatus;Plugged and abandoned;Abandoned
BUU-05;Koninklijke Nederlandse Zoutindustrie;Boorgatstatus;Plugged and abandoned;Abandoned
BUU-06;Koninklijke Nederlandse Zoutindustrie;Boorgatstatus;Plugged and abandoned;Abandoned
BUU-07;Koninklijke Nederlandse Zoutindustrie;Boorgatstatus;Plugged and abandoned;Abandoned
BUU-08;Koninklijke Nederlandse Zoutindustrie;Boorgatstatus;Plugged and abandoned;Abandoned
BWD-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
CAL-GT-01;Californie Wijnen Geothermie B.V.;Boorgatstatus;-;Technisch mislukt en sidetracked
CAL-GT-01-S1;Californie Wijnen Geothermie B.V.;Boorgatstatus;-;Closed-in
CAL-GT-02;Californie Wijnen Geothermie B.V.;Boorgatstatus;-;Closed-in
CAL-GT-03;Californie Wijnen Geothermie B.V.;Boorgatstatus;-;Closed-in
CAL-GT-04;Californie Lipzig Gielen;Veld Code;-;CAL-GT2
CAL-GT-04;Californie Lipzig Gielen;Mijnbouwwerk Naam;-;Californië Geothermie 2
CAL-GT-04;Californie Lipzig Gielen;Mijnbouwwerk Code;-;CAL-GT2
CAL-GT-05;Californie Lipzig Gielen;Veld Code;CAL-GT;CAL-GT2
CAL-GT-05;Californie Lipzig Gielen;Mijnbouwwerk Naam;Californie Geothermie;Californië Geothermie 2
CAL-GT-05;Californie Lipzig Gielen;Mijnbouwwerk Code;CAL-GT;CAL-GT2
CAP-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
CLD-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
CLDV-01-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
CNH-04;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
